ms,pos_z,vel_z,accel_z
0,3500.0,0.0,-9.80665
1,3499.999,-0.09806651,-9.80665
2,3499.997,-0.19613302,-9.80665
3,3499.9941,-0.29419953,-9.80665
4,3499.9902,-0.39226604,-9.80665
5,3499.9854,-0.49033254,-9.80665
6,3499.9795,-0.58839905,-9.80665
7,3499.9727,-0.68646556,-9.80665
8,3499.9648,-0.78453207,-9.80665
9,3499.956,-0.8825986,-9.80665
10,3499.9463,-0.9806651,-9.80665
11,3499.9355,-1.0787315,-9.80665
12,3499.9238,-1.1767981,-9.80665
13,3499.9111,-1.2748647,-9.80665
14,3499.8975,-1.3729312,-9.80665
15,3499.8828,-1.4709978,-9.80665
16,3499.8672,-1.5690644,-9.80665
17,3499.8506,-1.667131,-9.80665
18,3499.833,-1.7651975,-9.80665
19,3499.8145,-1.8632641,-9.80665
20,3499.795,-1.9613307,-9.80665
21,3499.7744,-2.0593972,-9.80665
22,3499.753,-2.1574638,-9.80665
23,3499.7305,-2.2555304,-9.80665
24,3499.707,-2.353597,-9.80665
25,3499.6826,-2.4516635,-9.80665
26,3499.6572,-2.54973,-9.80665
27,3499.6309,-2.6477966,-9.80665
28,3499.6035,-2.7458632,-9.80665
29,3499.5752,-2.8439298,-9.80665
30,3499.5457,-2.9419963,-9.80665
31,3499.5151,-3.040063,-9.80665
32,3499.4836,-3.1381295,-9.80665
33,3499.4512,-3.236196,-9.80665
34,3499.4177,-3.3342626,-9.80665
35,3499.3833,-3.4323292,-9.80665
36,3499.348,-3.5303957,-9.80665
37,3499.3115,-3.6284623,-9.80665
38,3499.2742,-3.726529,-9.80665
39,3499.2358,-3.8245955,-9.80665
40,3499.1965,-3.922662,-9.80665
41,3499.1562,-4.0207286,-9.80665
42,3499.115,-4.118795,-9.80665
43,3499.0728,-4.2168612,-9.80665
44,3499.0295,-4.3149276,-9.80665
45,3498.9854,-4.412994,-9.80665
46,3498.9402,-4.51106,-9.80665
47,3498.894,-4.6091266,-9.80665
48,3498.847,-4.707193,-9.80665
49,3498.7988,-4.805259,-9.80665
50,3498.7498,-4.9033256,-9.80665
51,3498.6997,-5.001392,-9.80665
52,3498.6487,-5.099458,-9.80665
53,3498.5967,-5.1975245,-9.80665
54,3498.5437,-5.295591,-9.80665
55,3498.4897,-5.393657,-9.80665
56,3498.4348,-5.4917235,-9.80665
57,3498.379,-5.58979,-9.80665
58,3498.322,-5.687856,-9.80665
59,3498.2642,-5.7859225,-9.80665
60,3498.2053,-5.883989,-9.80665
61,3498.1455,-5.982055,-9.80665
62,3498.0847,-6.0801215,-9.80665
63,3498.023,-6.178188,-9.80665
64,3497.9602,-6.276254,-9.80665
65,3497.8965,-6.3743205,-9.80665
66,3497.8318,-6.472387,-9.80665
67,3497.766,-6.570453,-9.80665
68,3497.6995,-6.6685195,-9.80665
69,3497.6318,-6.766586,-9.80665
70,3497.5632,-6.864652,-9.80665
71,3497.4937,-6.9627185,-9.80665
72,3497.423,-7.060785,-9.80665
73,3497.3516,-7.158851,-9.80665
74,3497.279,-7.2569175,-9.80665
75,3497.2056,-7.354984,-9.80665
76,3497.131,-7.45305,-9.80665
77,3497.0557,-7.5511165,-9.80665
78,3496.9792,-7.649183,-9.80665
79,3496.9019,-7.747249,-9.80665
80,3496.8235,-7.8453155,-9.80665
81,3496.7441,-7.943382,-9.80665
82,3496.6638,-8.041449,-9.80665
83,3496.5825,-8.139515,-9.80665
84,3496.5002,-8.237581,-9.80665
85,3496.417,-8.335648,-9.80665
86,3496.3328,-8.433714,-9.80665
87,3496.2476,-8.53178,-9.80665
88,3496.1614,-8.629847,-9.80665
89,3496.0742,-8.727913,-9.80665
90,3495.9858,-8.825979,-9.80665
91,3495.8965,-8.924046,-9.80665
92,3495.8062,-9.022112,-9.80665
93,3495.7148,-9.120178,-9.80665
94,3495.6226,-9.218245,-9.80665
95,3495.5293,-9.316311,-9.80665
96,3495.435,-9.414377,-9.80665
97,3495.3398,-9.512444,-9.80665
98,3495.2437,-9.61051,-9.80665
99,3495.1465,-9.708576,-9.80665
100,3495.0483,-9.806643,-9.80665
101,3494.9492,-9.904709,-9.80665
102,3494.849,-10.002775,-9.80665
103,3494.748,-10.1008415,-9.80665
104,3494.646,-10.198908,-9.80665
105,3494.543,-10.296974,-9.80665
106,3494.439,-10.3950405,-9.80665
107,3494.334,-10.493107,-9.80665
108,3494.228,-10.591173,-9.80665
109,3494.121,-10.6892395,-9.80665
110,3494.0132,-10.787306,-9.80665
111,3493.9043,-10.885372,-9.80665
112,3493.7944,-10.9834385,-9.80665
113,3493.6836,-11.081505,-9.80665
114,3493.5718,-11.179571,-9.80665
115,3493.459,-11.2776375,-9.80665
116,3493.3452,-11.375704,-9.80665
117,3493.2305,-11.47377,-9.80665
118,3493.1147,-11.571836,-9.80665
119,3492.998,-11.669903,-9.80665
120,3492.8804,-11.767969,-9.80665
121,3492.7617,-11.866035,-9.80665
122,3492.642,-11.964102,-9.80665
123,3492.5215,-12.062168,-9.80665
124,3492.4,-12.160234,-9.80665
125,3492.2773,-12.258301,-9.80665
126,3492.1538,-12.356367,-9.80665
127,3492.0293,-12.454433,-9.80665
128,3491.9038,-12.5525,-9.80665
129,3491.7773,-12.650566,-9.80665
130,3491.65,-12.748632,-9.80665
131,3491.5215,-12.846699,-9.80665
132,3491.392,-12.944765,-9.80665
133,3491.2617,-13.042831,-9.80665
134,3491.1304,-13.140898,-9.80665
135,3490.998,-13.238964,-9.80665
136,3490.8647,-13.33703,-9.80665
137,3490.7305,-13.435097,-9.80665
138,3490.5952,-13.533163,-9.80665
139,3490.459,-13.631229,-9.80665
140,3490.3218,-13.729296,-9.80665
141,3490.1836,-13.827362,-9.80665
142,3490.0444,-13.925428,-9.80665
143,3489.9043,-14.023495,-9.80665
144,3489.7632,-14.121561,-9.80665
145,3489.621,-14.219627,-9.80665
146,3489.478,-14.317694,-9.80665
147,3489.334,-14.41576,-9.80665
148,3489.189,-14.513826,-9.80665
149,3489.0427,-14.611893,-9.80665
150,3488.8955,-14.709959,-9.80665
151,3488.7473,-14.808025,-9.80665
152,3488.5981,-14.906092,-9.80665
153,3488.448,-15.004158,-9.80665
154,3488.2969,-15.102224,-9.80665
155,3488.1448,-15.200291,-9.80665
156,3487.9917,-15.298357,-9.80665
157,3487.8376,-15.396423,-9.80665
158,3487.6826,-15.49449,-9.80665
159,3487.5266,-15.592556,-9.80665
160,3487.3696,-15.690622,-9.80665
161,3487.2117,-15.788689,-9.80665
162,3487.0527,-15.886755,-9.80665
163,3486.8928,-15.984821,-9.80665
164,3486.732,-16.082888,-9.80665
165,3486.57,-16.180954,-9.80665
166,3486.4072,-16.27902,-9.80665
167,3486.2434,-16.377087,-9.80665
168,3486.0786,-16.475153,-9.80665
169,3485.9128,-16.57322,-9.80665
170,3485.746,-16.671286,-9.80665
171,3485.5784,-16.769352,-9.80665
172,3485.4097,-16.867418,-9.80665
173,3485.24,-16.965485,-9.80665
174,3485.0693,-17.06355,-9.80665
175,3484.8977,-17.161617,-9.80665
176,3484.725,-17.259684,-9.80665
177,3484.5515,-17.35775,-9.80665
178,3484.377,-17.455816,-9.80665
179,3484.2014,-17.553883,-9.80665
180,3484.025,-17.651949,-9.80665
181,3483.8474,-17.750015,-9.80665
182,3483.669,-17.848082,-9.80665
183,3483.4895,-17.946148,-9.80665
184,3483.309,-18.044214,-9.80665
185,3483.1277,-18.14228,-9.80665
186,3482.9453,-18.240347,-9.80665
187,3482.762,-18.338413,-9.80665
188,3482.5776,-18.43648,-9.80665
189,3482.3923,-18.534546,-9.80665
190,3482.206,-18.632612,-9.80665
191,3482.0188,-18.730679,-9.80665
192,3481.8306,-18.828745,-9.80665
193,3481.6414,-18.926811,-9.80665
