ID,mass,moi,TVC_to_CG,kp,ki,kd,drop_alt,cd,cs,ign_alt
1,0.949,0.087706,0.355,0.134,0.114,0.074,35.2,0.01,0.01,
2,0.949,0.087706,0.355,0.134,0.114,0.074,35.0,0.01,0.01,
3,0.949,0.087706,0.355,0.134,0.114,0.074,35.0,0.01,0.01,
4,0.949,0.087706,0.355,0.134,0.114,0.074,35.5,0.01,0.01,
5,0.949,0.087706,0.355,0.134,0.114,0.074,40.0,0.01,0.01,
6,0.949,0.087706,0.355,0.134,0.114,0.074,40.0,0.01,0.01,
7,0.949,0.087706,0.355,0.134,0.114,0.074,36.0,0.01,0.01,
8,0.949,0.087706,0.355,0.134,0.114,0.074,35.0,0.01,0.01,
9,0.949,0.087706,0.355,0.134,0.114,0.074,35.0,0.01,0.01,
10,0.949,0.087706,0.355,0.134,0.114,0.074,35.0,0.01,0.01,35.0
11,0.949,0.087706,0.355,0.134,0.114,0.074,35.0,0.01,0.01,20.2
12,0.949,0.087706,0.355,0.134,0.114,0.074,35.0,0.01,0.01,20.0
13,0.949,0.087706,0.355,0.134,0.114,0.074,35.0,0.01,0.01,20.2
14,0.949,0.087706,0.355,0.134,0.114,0.074,35.0,0.01,0.01,24.0
15,0.949,0.087706,0.355,0.134,0.114,0.074,41.658436,0.01,0.01,26.25867
16,0.949,0.087706,0.355,0.134,0.114,0.074,42.0,0.01,0.01,26.25867
17,0.949,0.087706,0.355,0.134,0.114,0.074,41.658436,0.01,0.01,26.25867
18,0.949,0.087706,0.355,0.134,0.114,0.074,41.502827,0.01,0.01,26.252346
19,0.949,0.087706,0.355,0.134,0.114,0.074,41.5,0.01,0.01,26.2
20,0.949,0.087706,0.355,0.134,0.114,0.074,41.5,0.01,0.01,26.1
21,0.949,0.087706,0.355,0.134,0.114,0.074,41.5,0.01,0.01,26.0
22,0.949,0.087706,0.355,0.134,0.114,0.074,41.5,0.01,0.01,26.0
23,0.949,0.087706,0.355,0.134,0.114,0.074,41.5,0.01,0.01,25.0
24,0.949,0.087706,0.355,0.134,0.114,0.074,45.2,0.01,0.01,25.0
25,0.949,0.087706,0.355,0.134,0.114,0.074,45.2,0.01,0.01,28.0
26,0.949,0.087706,0.355,0.134,0.114,0.074,45.1,0.01,0.01,28.1
27,0.949,0.087706,0.355,0.134,0.114,0.074,46.6,0.01,0.01,29.6
28,0.949,0.087706,0.355,0.134,0.114,0.074,46.6,0.01,0.01,29.6
29,0.949,0.087706,0.355,0.134,0.114,0.074,46.6,0.01,0.01,29.8
30,0.949,0.087706,0.355,0.2,0.114,0.074,46.6,0.01,0.01,29.8
31,0.949,0.087706,0.355,1.0,0.114,0.074,46.6,0.01,0.01,29.8
32,0.949,0.087706,0.355,5.0,0.0,0.0,46.6,0.01,0.01,29.8
33,0.949,0.087706,0.355,2.0,0.0,0.0,46.6,0.01,0.01,29.8
34,0.949,0.087706,0.355,0.134,0.114,0.074,46.6,0.01,0.01,29.8
35,0.949,0.087706,0.355,0.134,0.114,0.074,46.6,0.01,0.01,29.8
